# Data on the influence of the shielding of polyethylene on the final scoring of DPA in quartz. The displacement energy used is E_th = 41.8 eV
# The number of primaries for the simulation are 200000, from 40 cm is 400000.
# This results in a displacement energy of  E_th = (41.8 ± 1.3)eV => 40.5 eV < E_th < 43.1 eV with 68% of probability in this model.   

# Shld, DPA,          relative uncertainty
# cm,   prim⁻¹,       adimensional
  0.0,  1.87066e-22,  0.00353001
  0.2,  1.63502e-22,  0.00727074
  0.4,  1.28437e-22,  0.00526938
  0.6,  7.09447e-23,  0.0112757
  0.8,  4.61197e-23,  0.00820038
  1.0,  3.31626e-23,  0.00847713
  2.0,  1.08977e-23,  0.0246212
  4.0,  3.51456e-24,  0.050014
  6.0,  1.47094e-24,  0.071908
  8.0,  1.00166e-24,  0.0776606
  10.0, 6.15216e-25,  0.0290003
  20.0, 1.24609e-25,  0.0856389
  40.0, 3.60276e-26,  0.280216
  60.0, 2.55210e-26,  0.200081
  80.0, 1.32597e-26,  0.511581
  100.0,5.73281e-27,  0.489014
